Top queries,Clicks,Impressions,CTR,Position,Category,Note
sympy solve,12662,20093,63.02%,1.11,general,
sympy,12632,193924,6.51%,1.2,,
sympy integrate,9071,12849,70.60%,1.06,,
sympy matrix,9035,12887,70.11%,1.07,,
sympy simplify,7825,12002,65.20%,1.06,,
sympy subs,6950,11158,62.29%,1.09,,
sympy derivative,6400,10106,63.33%,1.01,,
sympy plot,5226,8332,62.72%,1.16,,
sympy lambdify,4643,6476,71.70%,1,,
sympy documentation,4375,5745,76.15%,1,,
sympy function,3889,5885,66.08%,1.05,,
sympy diff,3728,5902,63.17%,1.11,,
sympy tutorial,3603,6188,58.23%,1,,
lambdify,3565,5858,60.86%,1.02,,
python solver,3553,8720,40.75%,1.27,general,
python solve equation,2913,11087,26.27%,2.55,equation,
sympy vector,2598,3769,68.93%,1.02,,
sympy python,2572,25988,9.90%,1.26,,
sympy solve equation,2368,3543,66.84%,1,equation,
sympy symbols,2366,10506,22.52%,2.04,,
sympy substitute,2298,3772,60.92%,1.05,,
sympy integral,2222,3163,70.25%,1.03,,
sympy evalf,2199,3313,66.37%,1.05,,
sympy exponential,2169,3303,65.67%,1.01,,
python equation solver,2092,5992,34.91%,1.66,general,
sympy jacobian,2003,3225,62.11%,1.02,,
install sympy,1977,5429,36.42%,1.52,,
sympy eigenvalues,1945,2936,66.25%,1.01,,
sympy latex,1940,3666,52.92%,1.32,,
sympy matrix multiplication,1934,2767,69.90%,1,,
sympy evaluate,1926,2721,70.78%,1,,
solve sympy,1908,2691,70.90%,1.03,general,
sympy pi,1904,3685,51.67%,1.36,,
solve python,1854,5960,31.11%,2,general,
sympy limit,1780,2786,63.89%,1.11,,
sympy equation,1779,3315,53.67%,1.07,,
solve equation python,1765,5769,30.59%,2.24,equation,
sympy evaluate expression,1737,2441,71.16%,1,,
sympy sqrt,1731,3406,50.82%,1.43,,
sympy sum,1671,3415,48.93%,1.12,,
sympy differentiate,1608,2723,59.05%,1.03,,
sympy inverse matrix,1567,2247,69.74%,1.03,,
sympy piecewise,1557,2679,58.12%,1.03,,
sympy expand,1525,2543,59.97%,1.21,,
